"","YEAR","LOCATION","season","d.15","d.46","d.76","d.107","d.137","d.168","d.198","d.229","d.259","d.290","d.320"
"181",2006,"S2S","Growing",2.59,0.15,3.86,2.13,2.24,1.88,2.29,1.4,NA,0.74,NA
"182",2006,"S2S","Melt",4.44,4.72,7.34,4.9,4.93,4.27,4.88,4.52,1.5,3.25,NA
"183",2006,"S2S","Snow",4.37,2.64,4.52,2.31,2.31,2.13,2.44,1.52,NA,0.94,NA
"184",2007,"S2E","Growing",3.05,4.9,1.37,1.27,1.37,1.17,1.17,1.17,NA,NA,NA
"185",2007,"S2E","Melt",4.24,8.1,3.2,2.18,1.7,1.24,1.55,1.55,NA,NA,NA
"186",2007,"S2E","Snow",4.04,6.65,3.17,2.24,1.55,1.04,1.04,1.04,NA,NA,NA
"187",2007,"S2S","Growing",4.55,3.99,5.61,2.39,2.34,2.01,2.69,1.52,NA,0.79,NA
"188",2007,"S2S","Melt",6.1,4.98,6.91,4.57,4.01,3.56,4.14,3.78,1.37,2.34,NA
"189",2007,"S2S","Snow",4.24,4.27,6.96,4.78,4.27,3.68,4.67,3.94,0.94,2.39,NA
"190",2008,"S2E","Growing",2.44,1.96,1.37,1.73,1.73,1.22,1.22,1.22,NA,NA,NA
"191",2008,"S2E","Melt",3.78,7.65,3.1,2.44,1.73,1.22,1.22,1.22,NA,NA,NA
"192",2008,"S2E","Snow",3.86,4.44,1.68,1.52,1.27,0.91,0.91,0.91,NA,NA,NA
"193",2008,"S2S","Growing",1.96,0.61,4.55,3.05,3.05,2.9,3.25,2.16,NA,1.47,NA
"194",2008,"S2S","Melt",4.93,4.78,7.19,4.88,4.75,4.06,4.88,4.52,1.19,2.72,NA
"195",2008,"S2S","Snow",3.91,3.48,5.44,2.69,2.34,2.39,2.87,1.96,NA,1.35,NA
"196",2009,"S2E","Growing",1.63,2.54,2.13,1.98,2.16,2.08,2.08,2.08,NA,NA,NA
"197",2009,"S2E","Melt",4.14,8.71,3.38,2.72,1.88,1.47,1.47,1.47,NA,NA,NA
"198",2009,"S2E","Snow",3.96,5.99,2.64,1.98,1.78,1.68,1.68,1.68,NA,NA,NA
"199",2009,"S2S","Growing",1.91,0.81,5.44,3.63,3.4,3.45,3.78,2.95,NA,1.65,NA
"200",2009,"S2S","Melt",4.27,4.78,7.19,4.83,4.55,3.94,4.93,4.37,1.78,3.07,NA
"201",2009,"S2S","Snow",6.17,4.44,6.35,3.48,3.17,3.23,2.49,NA,0.03,1.55,NA
"202",2010,"S2E","Growing",3.58,7.49,3.71,2.59,2.18,2.08,2.08,2.08,NA,NA,NA
"203",2010,"S2E","Melt",3.63,7.04,3.2,2.46,1.55,1.12,1.12,1.12,NA,NA,NA
"204",2010,"S2E","Snow",5.08,8.56,3.84,2.77,1.78,1.78,1.78,1.78,NA,NA,NA
"205",2010,"S2S","Growing",4.62,3.99,7.16,5,4.72,4.17,4.85,4.14,0.86,2.46,NA
"206",2010,"S2S","Melt",5.11,4.29,7.14,4.83,4.6,4.24,4.93,4.11,0.89,2.57,NA
"207",2010,"S2S","Snow",5.61,4.9,7.32,4.83,4.83,4.27,4.98,4.47,1.65,3.1,NA
"208",2011,"S2E","Growing",3.58,3,2.26,2.44,2.44,2.13,2.13,2.13,NA,NA,NA
"209",2011,"S2E","Melt",4.8,7.14,3.78,3.15,2.59,2.26,2.26,2.26,NA,NA,NA
"210",2011,"S2E","Snow",3.4,5.16,2.29,2.29,2.29,1.93,1.93,1.93,NA,NA,NA
"211",2011,"S2S","Growing",2.46,0.81,5.44,4.22,4.6,4.39,4.55,3.15,0.48,2.39,NA
"212",2011,"S2S","Melt",5.21,4.37,7.16,5.13,4.98,4.39,4.98,4.6,1.17,2.95,NA
"213",2011,"S2S","Snow",4.17,2.9,5.49,3.76,4.06,3.91,3.99,2.69,0.18,2.11,NA
"214",2012,"S2E","Growing",0.74,0,0,0.74,1.96,1.96,1.96,1.96,NA,NA,NA
"215",2012,"S2E","Melt",3.53,8.28,3.35,2.49,2.44,2.44,2.44,2.44,NA,NA,NA
"216",2012,"S2E","Snow",3.63,3.07,0,0.86,2.13,2.13,2.13,2.13,NA,NA,NA
"217",2012,"S2S","Growing",0.71,0,0.3,2.54,2.29,2.74,3.35,2.69,3.07,1.02,NA
"218",2012,"S2S","Melt",3.51,5.08,7.49,4.93,4.47,4.14,4.93,4.39,2.24,3.4,NA
"219",2012,"S2S","Snow",3.35,3.94,0.66,2.69,2.29,2.34,3,2.54,3.25,0.97,NA
"220",2014,"S2E","Growing",3.33,3.86,1.55,2.11,2.11,2.39,2.39,NA,NA,NA,NA
"221",2014,"S2E","Melt",4.72,8.28,3.33,2.69,2.64,2.64,2.64,2.64,NA,NA,NA
"222",2014,"S2E","Snow",2.92,4.37,1.78,2.01,2.72,2.77,2.74,NA,NA,NA,NA
"223",2014,"S2S","Growing",3.45,3.56,1.32,3.71,3.3,3.48,3.66,3.53,4.85,1.65,NA
"224",2014,"S2S","Melt",5.03,6.86,4.72,5.23,4.29,3.91,4.62,4.75,6.3,3.3,NA
"225",2014,"S2S","Snow",3.2,4.47,1.24,3.78,3.1,3.17,3.66,3.4,4.83,1.4,NA
"226",2015,"S2E","Growing",3.96,4.7,1.37,1.7,1.88,2.13,2.13,NA,NA,NA,NA
"227",2015,"S2E","Melt",5.31,9.42,3.56,2.92,2.77,2.74,2.74,NA,NA,NA,NA
"228",2015,"S2E","Snow",3.15,5.51,3.23,2.57,2.18,2.34,2.54,NA,NA,NA,NA
"229",2015,"S2S","Growing",3.71,4.9,1.88,3.96,2.84,2.84,3.02,2.79,4.09,1.19,NA
"230",2015,"S2S","Melt",5.13,7.47,5.03,5.23,4.17,4.06,4.67,4.78,6.81,4.72,NA
"231",2015,"S2S","Snow",3.73,5.97,4.17,4.62,3.45,3.1,3.51,2.92,4.14,1.07,NA
"232",2016,"S2E","Growing",4.93,5.92,2.84,2.79,2.46,2.44,0.25,0.25,NA,NA,NA
